question_id,package_id,dataset,geo,reference_month,scheduled_release_local,status,failed_criteria,anchor_month,anchor_value,selected
une_rt_m__EU27_2020__2026-08__first__above_anchor,22494146,une_rt_m,EU27_2020,2026-08,2026-10-01T11:00:00+02:00,PASS,,2026-07,6.1,True
une_rt_m__EA21__2026-08__first__above_anchor,22494146,une_rt_m,EA21,2026-08,2026-10-01T11:00:00+02:00,PASS,,2026-07,6.4,True
sts_inppd_m__EU27_2020__2026-08__first__above_anchor,22494212,sts_inppd_m,EU27_2020,2026-08,2026-10-05T11:00:00+02:00,PASS,,2026-07,1.6,False
sts_inppd_m__EA21__2026-08__first__above_anchor,22494212,sts_inppd_m,EA21,2026-08,2026-10-05T11:00:00+02:00,PASS,,2026-07,1.8,True
sts_trtu_m__EU27_2020__2026-08__first__above_anchor,22494234,sts_trtu_m,EU27_2020,2026-08,2026-10-06T11:00:00+02:00,PASS,,2026-07,-0.4,True
sts_trtu_m__EA21__2026-08__first__above_anchor,22494234,sts_trtu_m,EA21,2026-08,2026-10-06T11:00:00+02:00,PASS,,2026-07,-0.6,True
sts_sepr_m__EU27_2020__2026-07__first__above_anchor,22494256,sts_sepr_m,EU27_2020,2026-07,2026-10-07T11:00:00+02:00,PASS,,2026-06,-0.2,True
sts_sepr_m__EA21__2026-07__first__above_anchor,22494256,sts_sepr_m,EA21,2026-07,2026-10-07T11:00:00+02:00,PASS,,2026-06,-0.3,True
sts_inpr_m__EU27_2020__2026-08__first__above_anchor,22494287,sts_inpr_m,EU27_2020,2026-08,2026-10-15T11:00:00+02:00,PASS,,2026-06,0.2,True
sts_inpr_m__EA21__2026-08__first__above_anchor,22494287,sts_inpr_m,EA21,2026-08,2026-10-15T11:00:00+02:00,PASS,,2026-06,0.0,True
sts_copr_m__EU27_2020__2026-08__first__above_anchor,22494330,sts_copr_m,EU27_2020,2026-08,2026-10-20T11:00:00+02:00,PASS,,2026-06,-1.0,True
sts_copr_m__EA21__2026-08__first__above_anchor,22494330,sts_copr_m,EA21,2026-08,2026-10-20T11:00:00+02:00,PASS,,2026-06,-1.3,True
une_rt_m__EU27_2020__2026-09__first__above_anchor,22494406,une_rt_m,EU27_2020,2026-09,2026-10-30T11:00:00+01:00,PASS,,2026-07,6.1,True
une_rt_m__EA21__2026-09__first__above_anchor,22494406,une_rt_m,EA21,2026-09,2026-10-30T11:00:00+01:00,PASS,,2026-07,6.4,True
sts_inppd_m__EU27_2020__2026-09__first__above_anchor,22494450,sts_inppd_m,EU27_2020,2026-09,2026-11-05T11:00:00+01:00,PASS,,2026-07,1.6,True
sts_inppd_m__EA21__2026-09__first__above_anchor,22494450,sts_inppd_m,EA21,2026-09,2026-11-05T11:00:00+01:00,PASS,,2026-07,1.8,True
sts_trtu_m__EU27_2020__2026-09__first__above_anchor,22494472,sts_trtu_m,EU27_2020,2026-09,2026-11-06T11:00:00+01:00,PASS,,2026-07,-0.4,True
sts_trtu_m__EA21__2026-09__first__above_anchor,22494472,sts_trtu_m,EA21,2026-09,2026-11-06T11:00:00+01:00,PASS,,2026-07,-0.6,True
sts_sepr_m__EU27_2020__2026-08__first__above_anchor,22494483,sts_sepr_m,EU27_2020,2026-08,2026-11-09T11:00:00+01:00,PASS,,2026-06,-0.2,True
sts_sepr_m__EA21__2026-08__first__above_anchor,22494483,sts_sepr_m,EA21,2026-08,2026-11-09T11:00:00+01:00,PASS,,2026-06,-0.3,True
sts_inpr_m__EU27_2020__2026-09__first__above_anchor,22494535,sts_inpr_m,EU27_2020,2026-09,2026-11-16T11:00:00+01:00,PASS,,2026-06,0.2,False
sts_inpr_m__EA21__2026-09__first__above_anchor,22494535,sts_inpr_m,EA21,2026-09,2026-11-16T11:00:00+01:00,PASS,,2026-06,0.0,True
sts_copr_m__EU27_2020__2026-09__first__above_anchor,22494557,sts_copr_m,EU27_2020,2026-09,2026-11-19T11:00:00+01:00,PASS,,2026-06,-1.0,False
sts_copr_m__EA21__2026-09__first__above_anchor,22494557,sts_copr_m,EA21,2026-09,2026-11-19T11:00:00+01:00,PASS,,2026-06,-1.3,True
une_rt_m__EU27_2020__2026-10__first__above_anchor,22494600,une_rt_m,EU27_2020,2026-10,2026-12-02T11:00:00+01:00,PASS,,2026-07,6.1,True
une_rt_m__EA21__2026-10__first__above_anchor,22494600,une_rt_m,EA21,2026-10,2026-12-02T11:00:00+01:00,PASS,,2026-07,6.4,True
sts_inppd_m__EU27_2020__2026-10__first__above_anchor,22494611,sts_inppd_m,EU27_2020,2026-10,2026-12-03T11:00:00+01:00,PASS,,2026-07,1.6,True
sts_inppd_m__EA21__2026-10__first__above_anchor,22494611,sts_inppd_m,EA21,2026-10,2026-12-03T11:00:00+01:00,PASS,,2026-07,1.8,True
sts_trtu_m__EU27_2020__2026-10__first__above_anchor,22519863,sts_trtu_m,EU27_2020,2026-10,2026-12-04T11:00:00+01:00,PASS,,2026-07,-0.4,True
sts_trtu_m__EA21__2026-10__first__above_anchor,22519863,sts_trtu_m,EA21,2026-10,2026-12-04T11:00:00+01:00,PASS,,2026-07,-0.6,True
sts_sepr_m__EU27_2020__2026-09__first__above_anchor,22519885,sts_sepr_m,EU27_2020,2026-09,2026-12-07T11:00:00+01:00,PASS,,2026-06,-0.2,False
sts_sepr_m__EA21__2026-09__first__above_anchor,22519885,sts_sepr_m,EA21,2026-09,2026-12-07T11:00:00+01:00,PASS,,2026-06,-0.3,False
sts_inpr_m__EU27_2020__2026-10__first__above_anchor,22519916,sts_inpr_m,EU27_2020,2026-10,2026-12-15T11:00:00+01:00,PASS,,2026-06,0.2,True
sts_inpr_m__EA21__2026-10__first__above_anchor,22519916,sts_inpr_m,EA21,2026-10,2026-12-15T11:00:00+01:00,PASS,,2026-06,0.0,True
sts_copr_m__EU27_2020__2026-10__first__above_anchor,22519971,sts_copr_m,EU27_2020,2026-10,2026-12-18T11:00:00+01:00,PASS,,2026-06,-1.0,False
sts_copr_m__EA21__2026-10__first__above_anchor,22519971,sts_copr_m,EA21,2026-10,2026-12-18T11:00:00+01:00,PASS,,2026-06,-1.3,True
