question_id,release_target_id,calendar_package_id,dataset,geo,reference_month,status,selected,scale_s
sts_copr_m__EA21__2026-08__first__conditional_mean,sts_copr_m__EA21__2026-08__first,22494330,sts_copr_m,EA21,2026-08,PASS,True,1.2120694364765492
sts_copr_m__EA21__2026-09__first__conditional_mean,sts_copr_m__EA21__2026-09__first,22494557,sts_copr_m,EA21,2026-09,PASS,True,1.2120694364765492
sts_copr_m__EA21__2026-10__first__conditional_mean,sts_copr_m__EA21__2026-10__first,22519971,sts_copr_m,EA21,2026-10,PASS,True,1.2120694364765492
sts_copr_m__EU27_2020__2026-08__first__conditional_mean,sts_copr_m__EU27_2020__2026-08__first,22494330,sts_copr_m,EU27_2020,2026-08,PASS,True,1.2362871014054337
sts_copr_m__EU27_2020__2026-09__first__conditional_mean,sts_copr_m__EU27_2020__2026-09__first,22494557,sts_copr_m,EU27_2020,2026-09,PASS,False,1.2362871014054337
sts_copr_m__EU27_2020__2026-10__first__conditional_mean,sts_copr_m__EU27_2020__2026-10__first,22519971,sts_copr_m,EU27_2020,2026-10,PASS,False,1.2362871014054337
sts_inppd_m__EA21__2026-08__first__conditional_mean,sts_inppd_m__EA21__2026-08__first,22494212,sts_inppd_m,EA21,2026-08,PASS,True,1.1264604047538738
sts_inppd_m__EA21__2026-09__first__conditional_mean,sts_inppd_m__EA21__2026-09__first,22494450,sts_inppd_m,EA21,2026-09,PASS,True,1.1264604047538738
sts_inppd_m__EA21__2026-10__first__conditional_mean,sts_inppd_m__EA21__2026-10__first,22494611,sts_inppd_m,EA21,2026-10,PASS,True,1.1264604047538738
sts_inppd_m__EU27_2020__2026-08__first__conditional_mean,sts_inppd_m__EU27_2020__2026-08__first,22494212,sts_inppd_m,EU27_2020,2026-08,PASS,False,1.084943062688251
sts_inppd_m__EU27_2020__2026-09__first__conditional_mean,sts_inppd_m__EU27_2020__2026-09__first,22494450,sts_inppd_m,EU27_2020,2026-09,PASS,True,1.084943062688251
sts_inppd_m__EU27_2020__2026-10__first__conditional_mean,sts_inppd_m__EU27_2020__2026-10__first,22494611,sts_inppd_m,EU27_2020,2026-10,PASS,True,1.084943062688251
sts_inpr_m__EA21__2026-08__first__conditional_mean,sts_inpr_m__EA21__2026-08__first,22494287,sts_inpr_m,EA21,2026-08,PASS,True,1.0822597802210234
sts_inpr_m__EA21__2026-09__first__conditional_mean,sts_inpr_m__EA21__2026-09__first,22494535,sts_inpr_m,EA21,2026-09,PASS,True,1.0822597802210234
sts_inpr_m__EA21__2026-10__first__conditional_mean,sts_inpr_m__EA21__2026-10__first,22519916,sts_inpr_m,EA21,2026-10,PASS,True,1.0822597802210234
sts_inpr_m__EU27_2020__2026-08__first__conditional_mean,sts_inpr_m__EU27_2020__2026-08__first,22494287,sts_inpr_m,EU27_2020,2026-08,PASS,True,0.9095208963347491
sts_inpr_m__EU27_2020__2026-09__first__conditional_mean,sts_inpr_m__EU27_2020__2026-09__first,22494535,sts_inpr_m,EU27_2020,2026-09,PASS,False,0.9095208963347491
sts_inpr_m__EU27_2020__2026-10__first__conditional_mean,sts_inpr_m__EU27_2020__2026-10__first,22519916,sts_inpr_m,EU27_2020,2026-10,PASS,True,0.9095208963347491
sts_sepr_m__EA21__2026-07__first__conditional_mean,sts_sepr_m__EA21__2026-07__first,22494256,sts_sepr_m,EA21,2026-07,PASS,True,0.4457325837673123
sts_sepr_m__EA21__2026-08__first__conditional_mean,sts_sepr_m__EA21__2026-08__first,22494483,sts_sepr_m,EA21,2026-08,PASS,True,0.4457325837673123
sts_sepr_m__EA21__2026-09__first__conditional_mean,sts_sepr_m__EA21__2026-09__first,22519885,sts_sepr_m,EA21,2026-09,PASS,False,0.4457325837673123
sts_sepr_m__EU27_2020__2026-07__first__conditional_mean,sts_sepr_m__EU27_2020__2026-07__first,22494256,sts_sepr_m,EU27_2020,2026-07,PASS,True,0.4016045715427776
sts_sepr_m__EU27_2020__2026-08__first__conditional_mean,sts_sepr_m__EU27_2020__2026-08__first,22494483,sts_sepr_m,EU27_2020,2026-08,PASS,True,0.4016045715427776
sts_sepr_m__EU27_2020__2026-09__first__conditional_mean,sts_sepr_m__EU27_2020__2026-09__first,22519885,sts_sepr_m,EU27_2020,2026-09,PASS,False,0.4016045715427776
sts_trtu_m__EA21__2026-08__first__conditional_mean,sts_trtu_m__EA21__2026-08__first,22494234,sts_trtu_m,EA21,2026-08,PASS,True,0.4781455724000768
sts_trtu_m__EA21__2026-09__first__conditional_mean,sts_trtu_m__EA21__2026-09__first,22494472,sts_trtu_m,EA21,2026-09,PASS,True,0.4781455724000768
sts_trtu_m__EA21__2026-10__first__conditional_mean,sts_trtu_m__EA21__2026-10__first,22519863,sts_trtu_m,EA21,2026-10,PASS,True,0.4781455724000768
